唯一Id	类型	Pos	Rot	区域	传送点	时间类型	自定义参数1	自定义参数2	自定义参数3
649	7	{-17537.4,33844.8,1336.0}	{0.0,-64.7,0.0}	4	2	{-17603.6,33968.4,1416.0,115.3}	1094	9	0
650	2	{-17816.7,39786.5,2613.4}	{0.0,-154.2,0.0}	5	1	{0.0,0.0,0.0,0.0}	41	0	0
651	2	{-10930.0,19052.0,2012.4}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	42	0	0
652	2	{-1827.1,21557.1,4458.4}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	43	0	0
653	2	{5329.8,27344.9,2577.2}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	44	0	0
654	2	{2838.6,36641.2,240.9}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	45	0	0
655	2	{3576.0,47005.4,-9.5}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	46	0	0
656	2	{16764.0,34987.3,2323.8}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	47	0	0
657	2	{29260.8,20055.5,274.1}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	48	0	0
658	2	{23504.7,5829.6,1975.5}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	49	0	0
659	2	{19046.9,11451.7,2438.6}	{0.0,-120.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	50	0	0
660	5	{-5259.8,28946.3,3024.5}	{0.0,0.0,0.0}	5	1	{-5259.8,28946.3,3024.5,0.0}	511	51	20501
661	5	{-3808.0,45902.7,1556.1}	{0.0,0.0,0.0}	5	1	{-3808.0,45902.7,1556.1,0.0}	512	52	20502
662	5	{5353.5,22386.6,4427.7}	{0.0,0.0,0.0}	5	1	{5353.5,22386.6,4427.7,0.0}	513	53	20503
663	5	{25279.7,27205.1,62.9}	{0.0,44.2,0.0}	5	1	{25279.7,27205.1,62.9,44.2}	514	54	20504
664	5	{35417.8,19670.0,919.1}	{0.0,14.9,0.0}	5	1	{35417.8,19670.0,919.1,14.9}	515	55	20505
665	2	{-7602.2,38159.9,2085.7}	{0.0,-154.6,0.0}	5	1	{0.0,0.0,0.0,0.0}	51	0	0
666	2	{-1757.1,39720.8,2085.3}	{0.0,-154.6,0.0}	5	1	{0.0,0.0,0.0,0.0}	52	0	0
667	2	{15939.8,22625.2,3315.7}	{0.0,-154.6,0.0}	5	1	{0.0,0.0,0.0,0.0}	53	0	0
668	2	{9696.2,6740.4,1802.1}	{0.0,-136.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	54	0	0
669	2	{2073.1,21188.5,162.0}	{0.0,13.4,0.0}	5	1	{0.0,0.0,0.0,0.0}	55	0	0
670	5	{-5357.4,23419.9,2213.7}	{0.0,0.0,0.0}	5	1	{-5357.4,23419.9,2213.7,0.0}	516	56	20506
671	2	{20391.7,28440.7,1509.3}	{0.0,13.4,0.0}	5	1	{0.0,0.0,0.0,0.0}	56	0	0
672	2	{-14013.0,36137.5,2053.5}	{0.0,13.4,0.0}	5	1	{0.0,0.0,0.0,0.0}	57	0	0
673	5	{-14339.0,37605.0,2543.0}	{0.0,0.0,0.0}	5	2	{-14339.0,37605.0,2543.0,0.0}	917	57	22501
674	5	{13713.0,23702.0,4285.0}	{0.0,0.0,0.0}	5	2	{13713.0,23702.0,4285.0,0.0}	918	58	22502
675	5	{32457.0,14904.0,156.0}	{0.0,0.0,0.0}	5	2	{32457.0,14904.0,156.0,0.0}	919	59	22503
676	2	{2172.1,19384.5,281.0}	{0.0,13.4,0.0}	5	2	{0.0,0.0,0.0,0.0}	90	0	0
677	2	{3866.1,33109.5,1403.0}	{0.0,13.4,0.0}	5	2	{0.0,0.0,0.0,0.0}	91	0	0
678	2	{-2062.9,37711.5,2112.0}	{0.0,13.4,0.0}	5	2	{0.0,0.0,0.0,0.0}	92	0	0
679	2	{-13651.9,27467.5,1761.0}	{0.0,13.4,0.0}	5	2	{0.0,0.0,0.0,0.0}	93	0	0
680	2	{-5308.9,28833.5,2239.0}	{0.0,-59.7,0.0}	5	2	{0.0,0.0,0.0,0.0}	94	0	0
681	2	{28481.8,21700.5,138.1}	{0.0,-150.9,0.0}	5	2	{0.0,0.0,0.0,0.0}	95	0	0
682	2	{-11113.9,28833.5,2045.0}	{0.0,-59.7,0.0}	5	2	{0.0,0.0,0.0,0.0}	96	0	0
683	2	{5591.1,19073.5,2603.0}	{0.0,-59.7,0.0}	5	2	{0.0,0.0,0.0,0.0}	97	0	0
684	2	{19384.1,11900.5,2814.5}	{0.0,-118.8,0.0}	5	2	{0.0,0.0,0.0,0.0}	98	0	0
685	2	{15205.8,29505.5,1987.1}	{0.0,-150.9,0.0}	5	2	{0.0,0.0,0.0,0.0}	99	0	0
686	1	{22185.2,1159.7,2334.4}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	902	0	0
687	1	{8207.4,20704.2,4110.9}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	903	0	0
688	1	{-10837.7,33504.8,3396.7}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	904	0	0
689	1	{9945.1,32603.5,2069.6}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	905	0	0
690	1	{20773.6,19968.0,2190.8}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	906	0	0
691	1	{29656.1,13494.7,142.3}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	907	0	0
692	7	{-12382.3,22099.2,2857.1}	{0.0,44.3,0.0}	5	1	{-12477.7,21996.5,2937.1,-135.7}	884	9	0
693	7	{6456.1,23923.5,5746.4}	{0.0,-178.6,0.0}	5	1	{6595.9,23934.0,5826.4,1.4}	885	9	0
694	7	{21437.0,709.8,2356.4}	{0.0,28.6,0.0}	5	1	{21317.4,636.6,2436.4,-151.4}	886	9	0
695	7	{29474.2,8378.2,1472.1}	{0.0,-18.1,0.0}	5	1	{29339.0,8415.1,1552.1,161.9}	887	9	0
696	7	{-17542.7,39345.1,2595.0}	{0.0,-33.8,0.0}	5	2	{-17663.0,39417.1,2675.0,146.2}	1098	9	0
697	7	{1908.6,46492.9,52.0}	{0.0,95.6,0.0}	5	2	{1929.3,46354.2,132.0,-84.4}	1099	9	0
698	7	{7794.5,28661.2,3313.0}	{0.0,-109.7,0.0}	5	2	{7835.1,28795.4,3393.0,70.3}	1100	9	0
699	7	{20719.8,23927.5,2199.8}	{0.0,-151.9,0.0}	5	2	{20840.0,23999.7,2279.8,28.1}	1101	9	0
700	7	{9568.8,6700.0,1802.0}	{0.0,-137.8,0.0}	5	2	{9667.9,6799.2,1882.0,42.2}	1102	18	0
701	2	{-17068.8,-23604.3,150.6}	{0.0,-48.1,0.0}	6	1	{0.0,0.0,0.0,0.0}	58	0	0
702	2	{-7187.8,-39815.4,151.9}	{0.0,-45.5,0.0}	6	1	{0.0,0.0,0.0,0.0}	59	0	0
703	2	{-9974.9,-31184.6,160.0}	{0.0,-47.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	60	0	0
704	2	{-16952.6,-38983.8,83.9}	{0.0,-45.8,0.0}	6	1	{0.0,0.0,0.0,0.0}	61	0	0
705	2	{387.8,-26876.9,6030.0}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	62	0	0
706	2	{2296.6,-18985.0,6000.0}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	63	0	0
707	2	{-3802.3,-22681.9,6036.3}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	64	0	0
708	2	{3377.3,-24472.9,6001.1}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	65	0	0
709	5	{-16835.3,-32040.0,919.1}	{0.0,0.0,0.0}	6	1	{-16835.3,-32040.0,919.1,0.0}	517	61	20601
710	5	{-9976.1,-37537.3,546.3}	{0.0,-2.2,0.0}	6	1	{-9976.1,-37537.3,546.3,-2.2}	518	62	20602
711	5	{-8884.2,-25995.7,5003.8}	{0.0,-2.2,0.0}	6	1	{-8884.2,-25995.7,5003.8,-2.2}	519	63	20603
712	8	{-26937.0,-32284.3,560.0}	{0.0,28.2,0.0}	6	0	{0.0,0.0,0.0,0.0}	66	0	0
713	5	{-713.8,-24493.7,6338.9}	{0.0,45.0,0.0}	6	1	{-713.8,-24493.7,6338.9,45.0}	520	64	20604
714	5	{-16858.0,-26380.0,218.0}	{0.0,0.0,0.0}	6	2	{-16858.0,-26380.0,218.0,0.0}	920	65	22601
715	5	{-1921.5,-24043.6,6151.0}	{0.0,-47.8,0.0}	6	2	{-1921.5,-24043.6,6151.0,-47.8}	921	66	22602
716	2	{-15037.8,-32261.4,225.9}	{0.0,-45.5,0.0}	6	2	{0.0,0.0,0.0,0.0}	100	0	0
717	2	{-14199.8,-39785.4,216.9}	{0.0,-45.5,0.0}	6	2	{0.0,0.0,0.0,0.0}	101	0	0
718	2	{3377.3,-24472.9,6015.1}	{0.0,0.0,0.0}	6	2	{0.0,0.0,0.0,0.0}	102	0	0
719	1	{-20107.6,-32221.6,160.0}	{0.0,0.0,0.0}	6	0	{0.0,0.0,0.0,0.0}	908	0	0
720	1	{-8497.1,-29409.3,5977.8}	{0.0,0.0,0.0}	6	0	{0.0,0.0,0.0,0.0}	909	0	0
721	1	{9657.6,-25887.5,6000.0}	{0.0,0.0,0.0}	6	0	{0.0,0.0,0.0,0.0}	910	0	0
722	7	{-12618.2,-32242.9,442.6}	{0.0,-180.0,0.0}	6	1	{-12478.2,-32235.9,522.6,0.0}	888	9	0
723	7	{-257.0,-22015.5,6150.0}	{0.0,88.2,0.0}	6	1	{-254.3,-22155.7,6230.0,-91.8}	889	9	0
724	7	{12503.2,-27888.8,2768.1}	{0.0,145.7,0.0}	6	1	{12622.8,-27961.9,2848.1,-34.3}	890	9	0
725	7	{315.7,-27026.3,6030.0}	{0.0,-132.2,0.0}	6	2	{404.6,-26917.8,6110.0,47.8}	1096	9	0
