ID	备注	标签信息(N代表角色or武器，M代表常驻orUP）	生效范围	蛋池限定时间	界面上是否显示时间（1代表不显示）	排序权重（越高越前）	蛋池类型区(0新手1常规2限定3常规自选UP4锁定自选UP5庆典卡池6单选7庆典单选）	保底类型（1特选，2非特选）	蛋池描述（名称，时间描述，外围描述，详情）	详细描述配置	展示资源（界面名字，资源名字{武器填视频名字，角色填spine名字}，缩放时间，初始位移点，最终位移点，缩放大小，slogan资源，展示角色GDPL，从第几秒开始循环、背景乐ID）	单抽价格{{g,d,p,l,n}}	十连价格{{g,d,p,l,n}}	特殊抽卡道具	具体蛋池内容配置{表名，表名}	保底必得{{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}},{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}}}		保底继承序列（影响UP+箱子）	概率	十连重置标记{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}	第十抽保底概率	每日抽奖次数上限	十连内概率叠加	保底内概率叠加	特殊不歪池概率叠加	指定抽数出道具	是否开启UP选择功能	显示概率	初始特殊保底	独立新手池抽取次数	展示4星道具	定轨UP自选	锁定关联池子ID	锁定关联池子确认提示	标签页UI资源关联	蛋池大图UI资源关联	是否禁止播放视频（不配正常播，1全部不播，2和谐下不播）	武器spine	获取途径	获取途径	获取途径	推荐id
77	三选一	{1,2}	0	{202508211000,202509250400}		268	6	2	60039	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{49,{1,10,3,1}},{13,{1,12,2,1}},{19,{1,16,1,1}}}	177	{"60039_sure1","60033_sure2","60033_sure3","60033_sure4"}			1					120
78	三选一	{2,2}	0	{202508211000,202509250400}		267	6	2	60040	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}					2	10002		10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{50,{2,1,29,1}},{14,{2,1,25,1}},{20,{2,3,24,1}}}	178	{"60040_sure1","60034_sure2","60034_sure3","60034_sure4"}			1					120
79	3.2芬妮	{1,2}	0	{202604020400,202604090400}		278	2	2	10063	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10063_detailtitle1","10063_detaildes11","10063_detaildes12","10063_detaildes13","10063_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10063_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl008c','/Game/Spine/Hero/Girl008c/GachaGirl_008c.GachaGirl_008c',0.3,{0,0},{0,0},{1.2,1},1602889,{1,8,4,1},1,3189}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool57'}	{80,{{'pool01',5},{'pool57',5}}}	{80,{'pool57',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool57',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
80	3.2芬妮	{2,2}	0	{202604020400,202604090400}		277	2	2	10064	{{"60034_detailtitle4","60034_detaildes41","60034_detaildes42"},{"10064_detailtitle1","10064_detaildes11","10064_detaildes12","10064_detaildes13","10064_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10064_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_14502',1602937, {2,1,33,1},8,3186,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool58'}	{60,{{'pool02',5},{'pool58',5}}}	{60,{'pool58',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool58',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
81	3.2瑟瑞斯	{1,2}	0	{202604020400,202604090400}		276	2	2	10065	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10065_detailtitle1","10065_detaildes11","10065_detaildes12","10065_detaildes13","10065_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10065_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl013b','/Game/Spine/Hero/Girl013b/GachaGirl_013b.GachaGirl_013b',0.3,{0,0},{0,0},{1.2,1},1602887,{1,13,3,1},1,3190}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool59'}	{80,{{'pool01',5},{'pool59',5}}}	{80,{'pool59',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool59',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
82	3.2瑟瑞斯	{2,2}	0	{202604020400,202604090400}		275	2	2	10066	{{"60034_detailtitle4","60034_detaildes41","60034_detaildes42"},{"10066_detailtitle1","10066_detaildes11","10066_detaildes12","10066_detaildes13","10066_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10066_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41504',1602926, {2,4,32,1},9,3187,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool60'}	{60,{{'pool02',5},{'pool60',5}}}	{60,{'pool60',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool60',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
83	特殊自选	{1,2}	0	{202509250400,202511060400}		274	4	2	90001	{{"10003_detailtitle1","10003_detaildes11","10003_detaildes12","10003_detaildes13","10003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10003_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool4'}	{80,{{'pool01',5},{'pool4',5}}}	{80,{'pool4',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool4',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{7,{1,14,2,1}},{13,{1,12,2,1}},{25,{1,11,2,1}},{41,{1,15,2,1}},{43,{1,5,3,1}},{55,{1,21,1,1}}}	183	{"90001_sure1","90001_sure2","90001_sure3","90001_sure4"}			1					120
84	特殊自选	{2,2}	0	{202509250400,202511060400}		273	4	2	90002	{{"10004_detailtitle1","10004_detaildes11","10004_detaildes12","10004_detaildes13","10004_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10004_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41502',1602079, {2,4,18,1},13,3044,16,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool5'}	{60,{{'pool02',5},{'pool5',5}}}	{60,{'pool5',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool5',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{8,{2,5,22,1}},{14,{2,1,25,1}},{26,{2,4,26,1}},{42,{2,5,26,1}},{44,{2,3,28,1}},{56,{2,5,28,1}}}	184	{"90002_sure1","90002_sure2","90002_sure3","90002_sure4"}			1	/Game/Spine/Weapon/weapon_41502.weapon_41502				120
85	三选一	{1,2}	0	{202509250400,202511060400}		272	6	2	60039	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{51,{1,14,3,1}},{29,{1,2,3,1}},{31,{1,8,3,1}}}	185	{"90003_sure1","90003_sure2","90003_sure3","90003_sure4"}			1					120
86	三选一	{2,2}	0	{202509250400,202511060400}		271	6	2	60040	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}					2	10002		10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{52,{2,8,3,1}},{30,{2,7,3,1}},{32,{2,5,24,1}}}	186	{"90004_sure1","90004_sure2","90004_sure3","90004_sure4"}			1					120
87	3.3米娅	{1,2}	0	{202605290400,202606190400}		280	2	2	10067	{{"10067_detailtitle1","10067_detaildes11","10067_detaildes12","10067_detaildes13","10067_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10067_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl023','/Game/Spine/Hero/Girl023/GachaGirl_023.GachaGirl_023',0.3,{0,0},{0,0},{1.2,1},1603014,{1,23,1,1},1,3194}	{{5,21,1,5,1}}	{{5,21,1,5,10}}	{5,21,4,5,1}	{'pool01','pool61'}	{80,{{'pool01',5},{'pool61',5}}}	{80,{'pool61',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool61',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
88	3.3米娅	{2,2}	0	{202605290400,202606190400}		279	2	2	10068	{{"10068_detailtitle1","10068_detaildes11","10068_detaildes12","10068_detaildes13","10068_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10068_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_31507',1603050, {2,3,33,1},9,3195,12,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}	{5,21,5,5,1}	{'pool02','pool62'}	{60,{{'pool02',5},{'pool62',5}}}	{60,{'pool62',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool62',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
89	3.4卜卜	{1,2}	0	{202601010400,202612010400}		280	2	2	10069	{{"10069_detailtitle1","10069_detaildes11","10069_detaildes12","10069_detaildes13","10069_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10069_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl020a','/Game/Spine/Hero/Girl020a/GachaGirl_020a.GachaGirl_020a',0.3,{0,0},{0,0},{1.2,1},1603090,{1,20,2,1},1,3200}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool63'}	{80,{{'pool01',5},{'pool63',5}}}	{80,{'pool63',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool63',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
90	3.4卜卜	{2,2}	0	{202601010400,202612010400}		279	2	2	10070	{{"10070_detailtitle1","10070_detaildes11","10070_detaildes12","10070_detaildes13","10070_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10070_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_71502',1603113, {2,7,5,1},9,3199,12,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02_28','pool64'}	{60,{{'pool02_28',5},{'pool64',5}}}	{60,{'pool64',5}}	2	10002	{{'pool02_28',4},{'pool02_28',5},{'pool64',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
91	3.5安卡	{1,2}	0	{202604020400,202604090400}		280	5	2	10071	{{"10071_detailtitle1","10071_detaildes11","10071_detaildes12","10071_detaildes13","10071_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10071_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001b','/Game/Spine/Hero/Girl001b/GachaGirl_001b.GachaGirl_001b',0.3,{0,0},{0,0},{1.2,1},1603125,{1,1,3,1},1,3205}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool65'}	{80,{{'pool01',5},{'pool65',5}}}	{80,{'pool65',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool65',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1		1050	1603150	gacha.gachaf9	120
92	3.5安卡	{2,2}	0	{202604020400,202604090400}		281	5	2	10072	{{"10072_detailtitle1","10072_detaildes11","10072_detaildes12","10072_detaildes13","10072_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10072_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_101501',1603180, {2,10,3,1},9,3207,10,0.3,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02_92','pool66'}	{60,{{'pool02_92',5},{'pool66',5}}}	{60,{'pool66',5}}	2	10002	{{'pool02_92',4},{'pool02_92',5},{'pool66',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
93	3.5茉莉安	{1,2}	0	{202604020400,202604090400}		282	5	2	10073	{{"10073_detailtitle1","10073_detaildes11","10073_detaildes12","10073_detaildes13","10073_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10073_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl005c','/Game/Spine/Hero/Girl005c/GachaGirl_005c.GachaGirl_005c',0.3,{0,0},{0,0},{1.2,1},1603175,{1,5,4,1},1,3204}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool67'}	{80,{{'pool01',5},{'pool67',5}}}	{80,{'pool67',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool67',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1		1051	1603151	gacha.gachaf10	120
94	3.5茉莉安	{2,2}	0	{202604020400,202604090400}		283	5	2	10074	{{"10074_detailtitle1","10074_detaildes11","10074_detaildes12","10074_detaildes13","10074_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10074_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12503',1603177, {2,1,35,1},8,3206,10,0.5,1}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool68'}	{60,{{'pool02',5},{'pool68',5}}}	{60,{'pool68',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool68',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
95	3.5七选二	{1,2}	0	{202604020400,202604090400}		284	4	2	90001	{{"10003_detailtitle1","10003_detaildes11","10003_detaildes12","10003_detaildes13","10003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10003_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool4'}	{80,{{'pool01',5},{'pool4',5}}}	{80,{'pool4',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool4',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{63,{1,15,3,1}},{65,{1,17,2,1}},{53,{1,11,3,1}},{51,{1,14,3,1}},{49,{1,10,3,1}},{29,{1,2,3,1}},{31,{1,8,3,1}}}	195	{"90001_sure1","90001_sure2","90001_sure3","90001_sure4"}			1					120
96	3.5七选二	{2,2}	0	{202604020400,202604090400}		285	4	2	90002	{{"10004_detailtitle1","10004_detaildes11","10004_detaildes12","10004_detaildes13","10004_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10004_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41502',1602079, {2,4,18,1},13,3044,16,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool5'}	{60,{{'pool02',5},{'pool5',5}}}	{60,{'pool5',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool5',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{64,{2,9,3,1}},{66,{2,5,30,1}},{54,{2,3,30,1}},{52,{2,8,3,1}},{50,{2,1,29,1}},{30,{2,7,3,1}},{32,{2,5,24,1}}}	196	{"90002_sure1","90002_sure2","90002_sure3","90002_sure4"}			1	/Game/Spine/Weapon/weapon_41502.weapon_41502				120
97	3.5四选一	{1,2}	0	{202604020400,202604090400}		286	6	2	60039	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{59,{1,18,2,1}},{41,{1,15,2,1}},{23,{1,7,2,1}},{7,{1,14,2,1}}}	197	{"90003_sure1","90003_sure2","90003_sure3","90003_sure4"}			1					120
98	3.5四选一	{2,2}	0	{202604020400,202604090400}		287	6	2	60040	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}					2	10002		10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{60,{2,2,26,1}},{42,{2,5,26,1}},{24,{2,1,27,1}},{8,{2,5,22,1}}}	198	{"90004_sure1","90004_sure2","90004_sure3","90004_sure4"}			1					120
99	3.6胧嫣	{1,2}	0	{202605080400,202606190400}		280	2	2	10075	{{"10075_detailtitle1","10075_detaildes11","10075_detaildes12","10075_detaildes13","10075_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10075_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl024','/Game/Spine/Hero/Girl024/GachaGirl_024.GachaGirl_024',0.3,{0,0},{0,0},{1.2,1},1603200,{1,24,1,1},1,3213}	{{5,21,1,5,1}}	{{5,21,1,5,10}}	{5,21,4,5,1}	{'pool01','pool69'}	{80,{{'pool01',5},{'pool69',5}}}	{80,{'pool69',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool69',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1		1054	1603198	gacha.gachaf11	120
100	3.6胧嫣	{2,2}	0	{202605080400,202606190400}		279	2	2	10076	{{"10076_detailtitle1","10076_detaildes11","10076_detaildes12","10076_detaildes13","10076_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10076_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_71503',1603214, {2,7,7,1},8.5,3212,10,0.3,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}	{5,21,5,5,1}	{'pool02_28','pool70'}	{60,{{'pool02_28',5},{'pool70',5}}}	{60,{'pool70',5}}	2	10002	{{'pool02_28',4},{'pool02_28',5},{'pool70',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
301	3.7里芙	{1,2}	0	{202601010400,202612010400}		280	5	2	10077	{{"10077_detailtitle1","10077_detaildes11","10077_detaildes12","10077_detaildes13","10077_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10077_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl002c','/Game/Spine/Hero/Girl002c/GachaGirl_002c.GachaGirl_002c',0.3,{0,0},{0,0},{1.2,1},1603233,{1,2,4,1},1,3205}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool71'}	{80,{{'pool01',5},{'pool71',5}}}	{80,{'pool71',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool71',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}											1050	1603150	gacha.gachaf9	120
302	3.7里芙	{2,2}	0	{202601010400,202612010400}		281	5	2	10078	{{"10078_detailtitle1","10078_detaildes11","10078_detaildes12","10078_detaildes13","10078_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10078_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_111501',1603275, {2,11,3,1},9,3207,10,0.3,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02_302','pool72'}	{60,{{'pool02_302',5},{'pool72',5}}}	{60,{'pool72',5}}	2	10002	{{'pool02_302',4},{'pool02_92',5},{'pool72',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}														120
303	3.7二选一	{1,2}	0	{202601010400,202612010400}		286	6	2	60039	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{79,{1,8,4,1}},{81,{1,13,3,1}}}	403	{"90003_sure1","90003_sure2","90003_sure3","90003_sure4"}								120
