商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	PC后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格（只能填人民币价格）	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本
3	525				com.kingsoft.bundle26	com.kingsoft.bundle26	com.kingsoft.bundle26	翩澜·神经突破包	4	{4,5,6,217,1}		4	1	{100,68}	{1,68}		supplies.giftbox242								[202510161000]	[202511060400]					8				
3	526				com.kingsoft.bundle27	com.kingsoft.bundle27	com.kingsoft.bundle27	翩澜·等级提升包	4	{4,5,6,218,1}		4	1	{100,38}	{1,38}		supplies.giftbox243								[202510161000]	[202511060400]					9				
3	527				com.kingsoft.bundle28	com.kingsoft.bundle28	com.kingsoft.bundle28	翩澜·神经通导包	4	{4,5,6,219,1}		4	1	{100,38}	{1,38}		supplies.giftbox244								[202510161000]	[202511060400]					10				
3	528				com.kingsoft.bundle29	com.kingsoft.bundle29	com.kingsoft.bundle29	翩澜·后勤提升包	4	{4,5,6,220,1}		4	1	{100,32}	{1,32}		supplies.giftbox245								[202510161000]	[202511060400]					11				
																																			
4	656				com.kingsoft.bundle41	com.kingsoft.bundle41	com.kingsoft.bundle41	芬妮-澄意-夕晖蜜约（皮肤）	5	{7,8,4,2,1}		4	1	{100,128}	{1,128}							85	[202509250400]	[202511060400]	[202509250400]	[202511060400]					1				
																																			
4	658				com.kingsoft.bundle43	com.kingsoft.bundle43	com.kingsoft.bundle43	奈莉德-冥河代理人-热沙激浪（皮肤）	5	{7,21,1,3,1}		4	1	{100,128}	{1,128}							77	[202509250400]	[202511060400]	[202509250400]	[202511060400]					3				
4	659				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	薇蒂雅-天鹅座-海境鲛梦（皮肤）	5	{7,18,2,3,1}		4	1	{100,128}	{1,128}							77	[202509250400]	[202511060400]	[202509250400]	[202511060400]					4				
4	629				com.kingsoft.bundle37	com.kingsoft.bundle37	com.kingsoft.bundle37	凯茜娅-朝翼-沐浪倦姿（皮肤）	5	{7,15,2,2,1}		4	1	{100,128}	{1,128}							85	[202509250400]	[202511060400]	[202509250400]	[202511060400]					5				
4	630				com.kingsoft.bundle42	com.kingsoft.bundle42	com.kingsoft.bundle42	茉莉安-幽潮-灿阳一刻（皮肤）	5	{7,5,3,2,1}		4	1	{100,128}	{1,128}							85	[202509250400]	[202511060400]	[202509250400]	[202511060400]					6				
4	631				com.kingsoft.bundle38	com.kingsoft.bundle38	com.kingsoft.bundle38	恩雅-羽蜕-浅憩之处（皮肤）	5	{7,11,2,3,1}		4	1	{100,128}	{1,128}							77	[202509250400]	[202511060400]	[202509250400]	[202511060400]					7				
4	605				com.kingsoft.bundle49	com.kingsoft.bundle49	com.kingsoft.bundle49	猫汐尔-灼阳假期（皮肤）	5	{7,12,2,2,1}		4	1	{100,128}	{1,128}							77	[202509250400]	[202511060400]	[202509250400]	[202511060400]					9				3
4	606				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	辰星-波光倩影（皮肤）	5	{7,14,2,3,1}		4	1	{100,128}	{1,128}							77	[202509250400]	[202511060400]	[202509250400]	[202511060400]					8				3
																																			
																																			
																																			
																																			
4	641				com.kingsoft.bundle76	com.kingsoft.bundle76	com.kingsoft.bundle76	茉莉安-幽潮-绒尾迷梦（皮肤）	5	{7,5,3,3,1}		4	1	{100,128}	{1,128}							77	[202509250400]	[202511060400]	[202509250400]	[202511060400]					14				
																																			
																																			
9	1039				com.kingsoft.bundle66	com.kingsoft.bundle66	com.kingsoft.bundle66	捆绑包（芬妮【澄意】-夕晖蜜约+互动+武器皮）	5	{4,8,31,1,1}		4	1	{100,226}	{1,226}			1601200		1601201		79	[202509250400]	[202511060400]	[202509250400]	[202511060400]					1		{656,861,832}	368	
9	1040				com.kingsoft.bundle95	com.kingsoft.bundle95	com.kingsoft.bundle95	捆绑包（瑟瑞斯【悠游】-碧波浮游+互动(预售)+武器皮）	5	{4,8,32,1,1}		4	1	{100,226}	{1,226}			1601208		1601209		74.5	[202510161000]	[202511060400]	[202510161000]	[202511060400]				{{4,15,1,3},{19,13,3,2}}	2		{657,862,833}	369	
9	1041				com.kingsoft.bundle58	com.kingsoft.bundle58	com.kingsoft.bundle58	捆绑包（奈莉德【冥河代理人】-热沙激浪+武器皮）	5	{4,8,33,1,1}		4	1	{100,156}	{1,156}			142500073		142500074		76	[202509250400]	[202511060400]	[202509250400]	[202511060400]					3		{658,834}	371	
9	1042				com.kingsoft.bundle20	com.kingsoft.bundle20	com.kingsoft.bundle20	捆绑包（薇蒂雅【天鹅座】-海境鲛梦+武器皮）	5	{4,8,34,1,1}		4	1	{100,156}	{1,156}			142200043		142200044		76	[202509250400]	[202511060400]	[202509250400]	[202511060400]					4		{659,835}	370	
9	1010				com.kingsoft.bundle96	com.kingsoft.bundle96	com.kingsoft.bundle96	捆绑包（凯茜娅-朝翼-沐浪倦姿+互动情景·绚洋+碳酸假日）	5	{4,8,5,1,1}		4	1	{100,226}	{1,226}			1601130		1601131		79	[202509250400]	[202511060400]	[202509250400]	[202511060400]					5		{629,852,806}	373	1
9	1012				com.kingsoft.bundle97	com.kingsoft.bundle97	com.kingsoft.bundle97	捆绑包（茉莉安-幽潮-灿阳一刻+互动情景·婪夜+未来心跳）	5	{4,8,6,2,1}		4	1	{100,226}	{1,226}			1601135		1601136		79	[202509250400]	[202511060400]	[202509250400]	[202511060400]				{{4,15,1,1},{19,5,3,2}}	6		{630,853,807}	374	
																																			
																																			
																																			
																																			
9	1023				com.kingsoft.bundle81	com.kingsoft.bundle81	com.kingsoft.bundle81	捆绑包（茉莉安-幽潮-绒尾迷梦+危甜信号）	5	{4,8,16,1,1}		4	1	{100,156}	{1,156}			142300045		142300046		76	[202509250400]	[202511060400]	[202509250400]	[202511060400]					11		{641,817}	381	
																																			
11	861				com.kingsoft.bundle98	com.kingsoft.bundle98	com.kingsoft.bundle98	互动情景·蜜海	5	{19,8,4,2,1}		4	1	{100,70}	{1,70}			1601202	1601204	1601203		72			[202509250400]	[202511060400]					1				
11	862				com.kingsoft.bundle99	com.kingsoft.bundle99	com.kingsoft.bundle99	【互动情景·澈心】预售礼盒	5	{4,15,1,3,1}		4	1	{100,70}	{1,70}			1601210	1601212	1601211		58	[202510161000]	[202511060400]	[202510161000]	[202511060400]				{{4,15,1,3}}	2				
11	852				com.kingsoft.bundle57	com.kingsoft.bundle57	com.kingsoft.bundle57	互动情景·绚洋	5	{19,15,2,2,1}		4	1	{100,70}	{1,70}			1601133	1601132	1601134		72			[202509250400]	[202511060400]					3				1
11	854				com.kingsoft.bundle52	com.kingsoft.bundle52	com.kingsoft.bundle52	互动情景·婪夜	5	{19,5,3,2,1}		4	1	{100,70}	{1,70}			1601138	1601137	1601139		72			[202509250400]	[202511060400]				{{4,15,1,1}}	4				
																																			
10	832				com.kingsoft.bundle59	com.kingsoft.bundle59	com.kingsoft.bundle59	清波储备（武器皮肤）	5	{17,1,5,1,1}		4	1	{100,28}	{1,28}			142100054		142100053		72	[202509250400]	[202511060400]	[202509250400]	[202511060400]					1			368	
																																			
10	834				com.kingsoft.bundle60	com.kingsoft.bundle60	com.kingsoft.bundle60	渊底警戒（武器皮肤）	5	{17,5,7,1,1}		4	1	{100,28}	{1,28}			142500078		142500077		72	[202509250400]	[202511060400]	[202509250400]	[202511060400]					3			371	
10	835				com.kingsoft.bundle47	com.kingsoft.bundle47	com.kingsoft.bundle47	紫晶盛放（武器皮肤）	5	{17,2,5,1,1}		4	1	{100,28}	{1,28}			142200048		142200047		72	[202509250400]	[202511060400]	[202509250400]	[202511060400]					4			370	
10	806				com.kingsoft.bundle53	com.kingsoft.bundle53	com.kingsoft.bundle53	碳酸假日（武器皮肤）	5	{17,5,2,1,1}		4	1	{100,28}	{1,28}			142500014		142500013		72	[202509250400]	[202511060400]	[202509250400]	[202511060400]					5			373	1
10	807				com.kingsoft.bundle30	com.kingsoft.bundle30	com.kingsoft.bundle30	未来心跳（武器皮肤）	5	{17,3,2,1,1}		4	1	{100,28}	{1,28}			142300014		142300013		72	[202509250400]	[202511060400]	[202509250400]	[202511060400]					6			374	1
																																			
																																			
																																			
																																			
10	817				com.kingsoft.bundle88	com.kingsoft.bundle88	com.kingsoft.bundle88	危甜信号（武器皮肤）	5	{17,3,6,1,1}		4	1	{100,28}	{1,28}			142300044		142300043		72	[202509250400]	[202511060400]	[202509250400]	[202511060400]					11			381	
																																			
																																			
																																			
																																			
																																			
13	1301							天鹅座泳装AR礼包	5	{4,16,1,1,1}		4	1		{2,30}	100	supplies.arbox001	1601216		1601217		1			[202509250400]	[202511060400]					1				
13	1302							奈莉德泳装AR礼包	5	{4,16,1,2,1}		4	1		{2,30}	100	supplies.arbox002	1601218		1601219		1			[202509250400]	[202511060400]					2				
																																			
8	529			1	com.kingsoft.bundle100	com.kingsoft.bundle100	com.kingsoft.bundle100	常驻自选角色礼包（商城）	4	{4,5,6,221,1}		4	1	{100,98}											[202511271000]						1				
8	530				com.kingsoft.bundle101	com.kingsoft.bundle101	com.kingsoft.bundle101	常驻自选武器礼包（商城）	4	{4,5,6,222,1}		4	1	{100,128}							{{{2,11424}},{{2,10105}}}				[202511271000]					{1}	2				
3	531				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	星谒·每周天启者聘任包	4	{4,5,6,223,1}		2	1	{100,16}	{1,16}										[202511060400]	[202512180400]					1				
3	532				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	星谒·天启者聘任包	4	{4,5,6,224,1}		4	1	{100,128}	{1,128}										[202511060400]	[202512180400]					2				
3	533				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	星谒·武器定制包	4	{4,5,6,225,1}		4	1	{100,128}	{1,128}										[202511060400]	[202512180400]					3				
3	534				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	星谒·豪华物资包	4	{4,5,6,226,1}		4	1	{100,228}	{1,228}										[202511060400]	[202512180400]					4				
3	535				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	星谒·成长资金包	4	{4,5,6,227,1}		4	1	{100,68}	{1,68}										[202511060400]	[202512180400]					5				
3	536				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	星谒·神经突破包	4	{4,5,6,228,1}		4	1	{100,68}	{1,68}										[202511060400]	[202512180400]					6				
3	537				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	星谒·等级提升包	4	{4,5,6,229,1}		4	1	{100,38}	{1,38}										[202511060400]	[202512180400]					7				
3	538				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	星谒·神经通导包	4	{4,5,6,230,1}		4	1	{100,38}	{1,38}										[202511060400]	[202512180400]					8				
3	539				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	星谒·后勤提升包	4	{4,5,6,231,1}		4	1	{100,32}	{1,32}										[202511060400]	[202512180400]					9				
																																			
																																			
																																			
																																			
4	657				com.kingsoft.bundle33	com.kingsoft.bundle33	com.kingsoft.bundle33	瑟瑞斯-悠游-碧波浮游（皮肤）	5	{7,13,3,2,1}		4	1	{100,128}	{1,128}							85	[202511060400]	[202511130400]	[202511060400]	[202511130400]					4				
																																			
																																			
																																			
																																			
																																			
																																			
9	1046				com.kingsoft.bundle66	com.kingsoft.bundle66	com.kingsoft.bundle66	捆绑包（瑟瑞斯【悠游】-碧波浮游+互动+武器皮）	5	{4,8,32,2,1}		4	1	{100,226}	{1,226}			1601208		1601209		79	[202511060400]	[202511130400]	[202511060400]	[202511130400]				{{4,15,1,3},{19,13,3,2}}	4		{657,862,833}	402	
																																			
																																			
																																			
11	863				com.kingsoft.bundle102	com.kingsoft.bundle102	com.kingsoft.bundle102	互动情景·澈心	5	{19,13,3,2,1}		4	1	{100,70}	{1,70}			1601210	1601212	1601211		72			[202511060400]	[202511130400]				{{4,15,1,3}}	1				
																																			
																																			
																																			
																																			
10	833				com.kingsoft.bundle47	com.kingsoft.bundle47	com.kingsoft.bundle47	经典气泡（武器皮肤）	5	{17,4,5,1,1}		4	1	{100,28}	{1,28}			142400044		142400043		72	[202511060400]	[202511130400]	[202511060400]	[202511130400]					4			402	
																																			
																																			
																																			
																																			
																																			
8	540				com.kingsoft.bundle104	com.kingsoft.bundle104	com.kingsoft.bundle104	常驻自选定制后勤礼包（商城）	4	{4,5,6,232,1}		4	1	{100,48}							{{{2,11508}},{{2,10412}}}				[202512180400]					{1}	3				
3	541				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	炽念·每周天启者聘任包	4	{4,5,6,233,1}		2	1	{100,16}	{1,16}										[202512180400]	[202601290400]					1				
3	542				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	炽念·天启者聘任包	4	{4,5,6,234,1}		4	1	{100,128}	{1,128}										[202512180400]	[202601290400]					2				
3	543				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	炽念·武器定制包	4	{4,5,6,235,1}		4	1	{100,128}	{1,128}										[202512180400]	[202601290400]					3				
3	544				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	炽念·豪华物资包	4	{4,5,6,236,1}		4	1	{100,228}	{1,228}										[202512180400]	[202601290400]					4				
3	545				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	炽念·成长资金包	4	{4,5,6,237,1}		4	1	{100,68}	{1,68}										[202512180400]	[202601290400]					5				
3	546				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	炽念·神经突破包	4	{4,5,6,238,1}		4	1	{100,68}	{1,68}										[202512180400]	[202601290400]					6				
3	547				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	炽念·等级提升包	4	{4,5,6,239,1}		4	1	{100,38}	{1,38}										[202512180400]	[202601290400]					7				
3	548				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	炽念·神经通导包	4	{4,5,6,240,1}		4	1	{100,38}	{1,38}										[202512180400]	[202601290400]					8				
3	549				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	炽念·后勤提升包	4	{4,5,6,241,1}		4	1	{100,32}	{1,32}										[202512180400]	[202601290400]					9				
																																			
4	664				com.kingsoft.bundle43	com.kingsoft.bundle43	com.kingsoft.bundle43	卜卜-灵鉴【绮恋星灵】（皮肤带部件）	5	{7,20,2,2,1}	6	4	1	{100,128}	{1,128}			1601238		1601239		77	[202512180400]	[202601290400]	[202512180400]	[202601290400]					1				
4	665				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	猫汐尔-莲驱【喵语祈念】（皮肤）	5	{7,12,3,2,1}		4	1	{100,128}	{1,128}							77	[202601011000]	[202601290400]	[202601011000]	[202601290400]					2				
																																			
																																			
4	655				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	奈莉德-冥河代理人-晨曦统令（皮肤带部件）	5	{7,21,1,2,1}	3	4	1	{100,128}	{1,128}			142500047		142500048		77	[202512180400]	[202601290400]	[202512180400]	[202601290400]					5				
																																			
9	1047				com.kingsoft.bundle106	com.kingsoft.bundle106	com.kingsoft.bundle106	捆绑包（卜卜-灵鉴【绮恋星灵】带部件+武器皮+电话陪伴）	5	{4,8,38,1,1}	6	4	1	{100,206}	{1,206}			1601236		1601237		72	[202512180400]	[202601290400]	[202512180400]	[202601290400]					1		{664,839,1401,907}	410	
9	1048				com.kingsoft.bundle58	com.kingsoft.bundle58	com.kingsoft.bundle58	捆绑包（猫汐尔-莲驱【喵语祈念】+武器皮）	5	{4,8,39,1,1}		4	1	{100,156}	{1,156}			1601234		1601235		76	[202601011000]	[202601290400]	[202601011000]	[202601290400]					2		{665,840}	411	
																																			
																																			
9	1038				com.kingsoft.bundle48	com.kingsoft.bundle48	com.kingsoft.bundle48	捆绑包（奈莉德-冥河代理人-晨曦统令+部件+武器皮）	5	{4,8,30,1,1}	3	4	1	{100,156}	{1,156}			142500045		142500046		76	[202512180400]	[202601290400]	[202512180400]	[202601290400]					5		{655,821,1027}	416	
																																			
14	1401				com.kingsoft.bundle107	com.kingsoft.bundle107	com.kingsoft.bundle107	蜜语相伴·卜卜-灵鉴【绮恋星灵】	5	{25,20,2,2,1}		4	1	{100,50}	{1,50}			1601248		1601249		60			[202512180400]	[202601290400]					1				
																																			
10	839				com.kingsoft.bundle59	com.kingsoft.bundle59	com.kingsoft.bundle59	心悦魔法（武器皮肤）	5	{17,7,2,1,1}		4	1	{100,28}	{1,28}			142700014		142700013		72	[202512180400]	[202601290400]	[202512180400]	[202601290400]					1			410	
10	840				com.kingsoft.bundle61	com.kingsoft.bundle61	com.kingsoft.bundle61	赤玫臻言（武器皮肤）	5	{17,2,6,1,1}		4	1	{100,28}	{1,28}			142200054		142200053		72	[202601011000]	[202601290400]	[202601011000]	[202601290400]					2			411	
																																			
																																			
10	821				com.kingsoft.bundle53	com.kingsoft.bundle53	com.kingsoft.bundle53	绯霞诫律（武器皮肤）	5	{17,5,5,1,1}		4	1	{100,28}	{1,28}			142500044		142500043		72	[202512180400]	[202601290400]	[202512180400]	[202601290400]					5			416	
																																			
12	907				com.kingsoft.bundle105	com.kingsoft.bundle105	com.kingsoft.bundle105	绮恋星灵-部件自选	5		6			{100,10}	{1,10}		ui.TxtFashionMall14	1601238		1601239							[202512180400]	[202601290400]			1				
12	904				com.kingsoft.bundle64	com.kingsoft.bundle64	com.kingsoft.bundle64	晨曦统令-部件自选	5		3			{100,10}	{1,10}		ui.TxtFashionMall14	142500047		142500048							[202512180400]	[202601290400]			2				
																																			
3	550				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	新誓·每周天启者聘任包	4	{4,5,6,242,1}		2	1	{100,16}	{1,16}		supplies.giftbox274								[202601290400]	[202603120400]					1				
3	551				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	新誓·顶级物资包	4	{4,5,6,243,1}		4	1	{100,328}	{1,328}		supplies.giftbox275								[202601290400]	[202603120400]					6				
3	552				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	新誓·天启者聘任包	4	{4,5,6,244,1}		4	1	{100,128}	{1,128}		supplies.giftbox276								[202601290400]	[202603120400]					4				
3	553				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	新誓·武器定制包	4	{4,5,6,245,1}		4	1	{100,128}	{1,128}		supplies.giftbox277								[202601290400]	[202603120400]					5				
3	554				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	新誓·成长物资包	4	{4,5,6,246,1}		4	1	{100,68}	{1,68}		supplies.giftbox278								[202601290400]	[202603120400]					12				
3	555				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	新誓·神经突破包	4	{4,5,6,247,1}		4	1	{100,68}	{1,68}		supplies.giftbox279								[202601290400]	[202603120400]					13				
3	556				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	新誓·等级提升包	4	{4,5,6,248,1}		4	1	{100,38}	{1,38}		supplies.giftbox280								[202601290400]	[202603120400]					14				
3	557				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	新誓·神经通导包	4	{4,5,6,249,1}		4	1	{100,38}	{1,38}		supplies.giftbox281								[202601290400]	[202603120400]					15				
3	558				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	新誓·后勤提升包	4	{4,5,6,250,1}		4	1	{100,32}	{1,32}		supplies.giftbox282								[202601290400]	[202603120400]					16				
3	559				com.kingsoft.bundle23	com.kingsoft.bundle23	com.kingsoft.bundle23	梦舟·天启者聘任包	4	{4,5,6,251,1}		4	1	{100,128}	{1,128}		supplies.giftbox283								[202602121000]	[202603120400]					2				
3	560				com.kingsoft.bundle24	com.kingsoft.bundle24	com.kingsoft.bundle24	梦舟·武器定制包	4	{4,5,6,252,1}		4	1	{100,128}	{1,128}		supplies.giftbox284								[202602121000]	[202603120400]					3				
3	561				com.kingsoft.bundle25	com.kingsoft.bundle25	com.kingsoft.bundle25	梦舟·成长物资包	4	{4,5,6,253,1}		4	1	{100,68}	{1,68}		supplies.giftbox285								[202602121000]	[202603120400]					7				
3	562				com.kingsoft.bundle26	com.kingsoft.bundle26	com.kingsoft.bundle26	梦舟·神经突破包	4	{4,5,6,254,1}		4	1	{100,68}	{1,68}		supplies.giftbox286								[202602121000]	[202603120400]					8				
3	563				com.kingsoft.bundle27	com.kingsoft.bundle27	com.kingsoft.bundle27	梦舟·等级提升包	4	{4,5,6,255,1}		4	1	{100,38}	{1,38}		supplies.giftbox287								[202602121000]	[202603120400]					9				
3	564				com.kingsoft.bundle28	com.kingsoft.bundle28	com.kingsoft.bundle28	梦舟·神经通导包	4	{4,5,6,256,1}		4	1	{100,38}	{1,38}		supplies.giftbox288								[202602121000]	[202603120400]					10				
3	565				com.kingsoft.bundle29	com.kingsoft.bundle29	com.kingsoft.bundle29	梦舟·后勤提升包	4	{4,5,6,257,1}		4	1	{100,32}	{1,32}		supplies.giftbox289								[202602121000]	[202603120400]					11				
																																			
4	667				com.kingsoft.bundle41	com.kingsoft.bundle41	com.kingsoft.bundle41	安卡希雅-时之重奏【缘音回响】（皮肤）	5	{7,1,3,2,1}		4	1	{100,128}	{1,128}							85	[202601290400]	[202603120400]	[202601290400]	[202603120400]					1				
4	668				com.kingsoft.bundle33	com.kingsoft.bundle33	com.kingsoft.bundle33	茉莉安-霄鹰【纯白恋羽】（皮肤）	5	{7,5,4,2,1}		4	1	{100,128}	{1,128}							85	[202602121000]	[202603120400]	[202602121000]	[202603120400]					2				
4	669				com.kingsoft.bundle43	com.kingsoft.bundle43	com.kingsoft.bundle43	瑟瑞斯-悠游【霄倾君怀】（皮肤）	5	{7,13,3,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					3				
4	670				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	米娅-星彩【祥云徜戏】（皮肤）	5	{7,23,1,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					4				
4	648				com.kingsoft.bundle37	com.kingsoft.bundle37	com.kingsoft.bundle37	凯茜娅-狂诗-星抚恋音（皮肤）	5	{7,15,3,2,1}		4	1	{100,128}	{1,128}							85	[202601290400]	[202603120400]	[202601290400]	[202603120400]					5				
4	649				com.kingsoft.bundle42	com.kingsoft.bundle42	com.kingsoft.bundle42	苔丝-绮幻-恋如花舞（皮肤）	5	{7,17,2,2,1}		4	1	{100,128}	{1,128}							85	[202601290400]	[202603120400]	[202601290400]	[202603120400]					6				
4	636				com.kingsoft.bundle71	com.kingsoft.bundle71	com.kingsoft.bundle71	辰星-琼弦-欣描红妆（皮肤）	5	{7,14,3,2,1}		4	1	{100,128}	{1,128}							85	[202601290400]	[202603120400]	[202601290400]	[202603120400]					7				
4	637				com.kingsoft.bundle72	com.kingsoft.bundle72	com.kingsoft.bundle72	肴-夜天光-暖夜情醺（皮肤）	5	{7,10,3,2,1}		4	1	{100,128}	{1,128}							85	[202601290400]	[202603120400]	[202601290400]	[202603120400]					8				
4	619				com.kingsoft.bundle116	com.kingsoft.bundle116	com.kingsoft.bundle116	里芙-无限之视-爱意凝晶（皮肤）	5	{7,2,3,2,1}		4	1	{100,128}	{1,128}							85	[202601290400]	[202603120400]	[202601290400]	[202603120400]					9				1
4	620				com.kingsoft.bundle117	com.kingsoft.bundle117	com.kingsoft.bundle117	芬妮-辉耀-绽于恋时（皮肤）	5	{7,8,3,2,1}		4	1	{100,128}	{1,128}							85	[202601290400]	[202603120400]	[202601290400]	[202603120400]					10				1
4	666				com.kingsoft.bundle38	com.kingsoft.bundle38	com.kingsoft.bundle38	芬妮-澄意【颂夜欢歌】（皮肤）	5	{7,8,4,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					11				
4	663				com.kingsoft.bundle49	com.kingsoft.bundle49	com.kingsoft.bundle49	凯茜娅【狂诗】-花间蝶踪（皮肤）	5	{7,15,3,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					12				
4	654				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	肴-夜天光-共待曙明（皮肤）	5	{7,10,3,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					13				
4	650				com.kingsoft.bundle44	com.kingsoft.bundle44	com.kingsoft.bundle44	恩雅-澜风-秘密侍奉（皮肤）	5	{7,11,3,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					14				
4	645				com.kingsoft.bundle73	com.kingsoft.bundle73	com.kingsoft.bundle73	薇蒂雅-天鹅座-云端之邀（皮肤）	5	{7,18,2,2,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					15				
4	647				com.kingsoft.bundle74	com.kingsoft.bundle74	com.kingsoft.bundle74	辰星-琼弦-慵倚花阴（皮肤）	5	{7,14,3,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					16				
4	644				com.kingsoft.bundle75	com.kingsoft.bundle75	com.kingsoft.bundle75	凯茜娅朝翼-绮锦流韵（皮肤）	5	{7,15,2,4,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					17				
4	639				com.kingsoft.bundle76	com.kingsoft.bundle76	com.kingsoft.bundle76	恩雅-澜风-望云清咏（皮肤）	5	{7,11,3,2,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					18				
4	638				com.kingsoft.bundle94	com.kingsoft.bundle94	com.kingsoft.bundle94	芬妮-辉耀-金狮舞瑞（皮肤）	5	{7,8,3,3,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					19				
4	634				com.kingsoft.bundle114	com.kingsoft.bundle114	com.kingsoft.bundle114	琴诺-悖谬-清荷雅弈（皮肤）	5	{7,7,2,5,1}		4	1	{100,128}	{1,128}							77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					20				
4	660				com.kingsoft.bundle115	com.kingsoft.bundle115	com.kingsoft.bundle115	辰星-云篆-点墨化龙（皮肤带部件）	5	{7,14,2,4,1}	2	4	1	{100,128}	{1,128}			1601123		1601122		77	[202601290400]	[202603120400]	[202601290400]	[202603120400]					21				
