	注释	血量	攻击	防御	耐力上限		暴击率（突破）	暴击加成（突破）	技能强度增幅	能量获取效率（突破）	指挥值(%)（突破）	血量百分比（突破）	技巧百分比	防御百分比（突破）			破盾加成（突破）
10164	祈歌-奥萝拉		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,38},{7,44},{8,51},{9,57},{10,64},{11,70},{12,77},{13,84},{14,91},{15,97},{16,104}}	{{1,3},{2,6},{3,9},{4,12},{5,16},{6,19},{7,22},{8,25},{9,28},{10,31},{11,35},{12,38},{13,41},{14,45},{15,48},{16,51}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10165	祈歌-雪青	{{1,101},{2,189},{3,278},{4,368},{5,458},{6,550},{7,642},{8,736},{9,830},{10,926},{11,1022},{12,1119},{13,1218},{14,1317},{15,1417},{16,1518}}		{{1,3},{2,6},{3,9},{4,12},{5,16},{6,19},{7,22},{8,25},{9,28},{10,31},{11,35},{12,38},{13,41},{14,45},{15,48},{16,51}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10166	祈歌-莱妮娅	{{1,101},{2,189},{3,278},{4,368},{5,458},{6,550},{7,642},{8,736},{9,830},{10,926},{11,1022},{12,1119},{13,1218},{14,1317},{15,1417},{16,1518}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,38},{7,44},{8,51},{9,57},{10,64},{11,70},{12,77},{13,84},{14,91},{15,97},{16,104}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10167	新芽-普莉姆		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,49},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,94},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10168	新芽-艾维琳	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10169	新芽-柯菈	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,49},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,94},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10170	天秤-炽		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,61},{11,67},{12,73},{13,80},{14,86},{15,93},{16,99}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10171	天秤-魂音	{{1,97},{2,182},{3,267},{4,354},{5,441},{6,529},{7,618},{8,708},{9,799},{10,891},{11,984},{12,1077},{13,1172},{14,1267},{15,1364},{16,1461}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10172	天秤-索拉妮	{{1,97},{2,182},{3,267},{4,354},{5,441},{6,529},{7,618},{8,708},{9,799},{10,891},{11,984},{12,1077},{13,1172},{14,1267},{15,1364},{16,1461}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,61},{11,67},{12,73},{13,80},{14,86},{15,93},{16,99}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10173	飞云-菈玛娜		{{1,6},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,65},{12,72},{13,78},{14,84},{15,91},{16,97}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,40},{14,43},{15,46},{16,49}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10174	飞云-希妮	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,627},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,40},{14,43},{15,46},{16,49}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10175	飞云-库里姆	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,627},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}	{{1,6},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,65},{12,72},{13,78},{14,84},{15,91},{16,97}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10176	碧空-薇奈		{{1,7},{2,13},{3,19},{4,26},{5,32},{6,38},{7,45},{8,51},{9,58},{10,64},{11,71},{12,78},{13,85},{14,92},{15,99},{16,106}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,22},{8,25},{9,28},{10,31},{11,34},{12,38},{13,41},{14,44},{15,48},{16,51}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10177	碧空-西泽	{{1,101},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,920},{11,1015},{12,1112},{13,1210},{14,1308},{15,1408},{16,1508}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,22},{8,25},{9,28},{10,31},{11,34},{12,38},{13,41},{14,44},{15,48},{16,51}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10178	碧空-美榴	{{1,101},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,920},{11,1015},{12,1112},{13,1210},{14,1308},{15,1408},{16,1508}}	{{1,7},{2,13},{3,19},{4,26},{5,32},{6,38},{7,45},{8,51},{9,58},{10,64},{11,71},{12,78},{13,85},{14,92},{15,99},{16,106}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10179	重叶-梅贝尔		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10180	重叶-伊莉斯	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,544},{7,636},{8,728},{9,822},{10,916},{11,1012},{12,1108},{13,1205},{14,1303},{15,1402},{16,1503}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10181	重叶-歌莉娅	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,544},{7,636},{8,728},{9,822},{10,916},{11,1012},{12,1108},{13,1205},{14,1303},{15,1402},{16,1503}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10182	图征-库兰娅丝		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,62},{11,69},{12,75},{13,82},{14,89},{15,96},{16,102}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,25},{9,28},{10,31},{11,34},{12,37},{13,41},{14,44},{15,47},{16,51}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10183	图征-斯瓦莉	{{1,102},{2,190},{3,279},{4,370},{5,461},{6,553},{7,646},{8,740},{9,835},{10,931},{11,1028},{12,1125},{13,1224},{14,1324},{15,1425},{16,1526}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,25},{9,28},{10,31},{11,34},{12,37},{13,41},{14,44},{15,47},{16,51}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10184	图征-索莉妮	{{1,102},{2,190},{3,279},{4,370},{5,461},{6,553},{7,646},{8,740},{9,835},{10,931},{11,1028},{12,1125},{13,1224},{14,1324},{15,1425},{16,1526}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,62},{11,69},{12,75},{13,82},{14,89},{15,96},{16,102}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10185	圣树-露米		{{1,6},{2,12},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,51},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,39},{14,42},{15,45},{16,49}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10186	圣树-玛格丽特	{{1,99},{2,185},{3,273},{4,361},{5,450},{6,540},{7,630},{8,722},{9,815},{10,908},{11,1003},{12,1098},{13,1195},{14,1292},{15,1390},{16,1489}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,39},{14,42},{15,45},{16,49}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10187	圣树-阿尔维娜	{{1,99},{2,185},{3,273},{4,361},{5,450},{6,540},{7,630},{8,722},{9,815},{10,908},{11,1003},{12,1098},{13,1195},{14,1292},{15,1390},{16,1489}}	{{1,6},{2,12},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,51},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10188	松露-蕈影		{{1,7},{2,13},{3,18},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10189	松露-榆	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,545},{7,636},{8,729},{9,823},{10,917},{11,1013},{12,1109},{13,1206},{14,1305},{15,1404},{16,1504}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10190	松露-虹彩	{{1,100},{2,187},{3,275},{4,364},{5,454},{6,545},{7,636},{8,729},{9,823},{10,917},{11,1013},{12,1109},{13,1206},{14,1305},{15,1404},{16,1504}}	{{1,7},{2,13},{3,18},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10191	向月-烛照		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,49},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,94},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10192	向月-凝釉	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,544},{7,635},{8,728},{9,821},{10,915},{11,1011},{12,1107},{13,1204},{14,1302},{15,1401},{16,1501}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10193	向月-清荷	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,544},{7,635},{8,728},{9,821},{10,915},{11,1011},{12,1107},{13,1204},{14,1302},{15,1401},{16,1501}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,49},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,94},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10194	奇点-欧律拉克		{{1,6},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,66},{12,72},{13,78},{14,84},{15,91},{16,97}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10195	奇点-贝勒姬	{{1,100},{2,186},{3,274},{4,362},{5,452},{6,542},{7,633},{8,725},{9,819},{10,913},{11,1008},{12,1103},{13,1200},{14,1298},{15,1397},{16,1496}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10196	奇点-纳尔贝拉	{{1,100},{2,186},{3,274},{4,362},{5,452},{6,542},{7,633},{8,725},{9,819},{10,913},{11,1008},{12,1103},{13,1200},{14,1298},{15,1397},{16,1496}}	{{1,6},{2,12},{3,18},{4,24},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,66},{12,72},{13,78},{14,84},{15,91},{16,97}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
