template表中Param1字段	道具获取方式（Fix 固定;Random n随1、n随m;Prob 分别看概率获取 ;Select n选1、n选m）	道具GDPLN	随机时的权重，注定不随机的箱子可以为空	分组(随机时同index、同group一起随）	推荐兑换角标（1=推荐，0或不配不显示，只有道具获取方式为Select的BOX需要配置）	//备注
2049	Fix	{7,13,3,3,1}				瑟瑞斯-悠游-霄倾君怀
2049	Fix	{17,4,6,1,1}				瑟瑞斯-悠游-霄倾君怀枪皮
						
2050	Fix	{7,23,1,3,1}				米娅-星彩-祥云徜戏
2050	Fix	{17,3,11,1,1}				米娅-星彩-祥云徜戏枪皮
						
2051	Fix	{7,24,1,2,1}				胧嫣-瑞狐-珠光曳影
2051	Fix	{17,7,3,1,1}				魅银华饰
						
2052	Fix	{7,4,4,2,1}				芙提雅-炬芯-国主驾到
2052	Fix	{17,4,7,1,1}				龙吟威光
						
2053	Fix	{7,6,3,3,1}				晴-霆光-剑意逍遥
2053	Fix	{17,5,9,1,1}				云游青霄
						
						
1601	Fix	{24,18,2,1,1}				AR礼包1
1601	Fix	{24,18,2,2,1}				AR礼包1
1601	Fix	{24,18,2,3,1}				AR礼包1
1601	Fix	{24,18,2,4,1}				AR礼包1
1601	Fix	{24,18,2,5,1}				AR礼包1
						
1602	Fix	{24,21,1,1,1}				AR礼包2
1602	Fix	{24,21,1,2,1}				AR礼包2
1602	Fix	{24,21,1,3,1}				AR礼包2
1602	Fix	{24,21,1,4,1}				AR礼包2
1602	Fix	{24,21,1,5,1}				AR礼包2
